ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
1207;Pétervására;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;26;
2238;Bakonyszombathely;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;22;
0468;Dédestapolcsány;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;17;
3392;Mánfa;Komlói;Baranya;Dél-Dunántúl;Dunántúl;33;
1928;Cikó;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;31;
1929;Galvács;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;33;
1896;Kaposszekcső;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;33;
1913;Kátoly;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;25;
1959;Pusztaottlaka;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;27;
1967;Újkér;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;35;
1986;Pápadereske;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;35;
1872;Kupa;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;15;
1880;Tornanádaska;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;5;
2611;Sáp;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;26;
1634;Besnyő;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;35;
1148;Somogycsicsó;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;38;
1667;Töltéstava;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;33;
1670;Écs;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;43;
1674;Bajna;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;36;
2075;Hidegkút;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;39;
2076;Medgyesbodzás;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;31;
2077;Csobaj;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;18;
1374;Kőkút;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;13;
1375;Szanda;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;21;
1376;Telkibánya;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;28;
1378;Kiskorpád;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;31;
1382;Somodor;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;30;
1384;Kozárd;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;30;
1388;Tiszakeszi;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;24;
1390;Nádasdladány;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;27;
1392;Iklódbördőce;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;33;
1552;Pér;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;35;
1943;Mezőkövesd;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;28;
1887;Mátészalka;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;36;
1971;Nagykőrös;Nagykőrösi;Pest;Pest;Közép-Magyarország;23;
1855;Olasz;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;30;
1856;Zalaszentbalázs;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;24;
1949;Nógrádsipek;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;20;
2129;Laskod;Baktalórántházai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;31;
2018;Tiszaroff;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;28;
2119;Radostyán;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;29;
2067;Beregsurány;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;17;
2068;Okorág;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;24;
2085;Úrkút;Ajkai;Veszprém;Közép-Dunántúl;Dunántúl;34;
2034;Vashosszúfalu;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;35;
1013;Palotabozsok;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;28;
1014;Varbóc;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;13;
1016;Püspökladány;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;36;
1017;Sajógalgóc;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;27;
1020;Tiszarád;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;24;
1022;Szalafő;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;61;
1676;Váncsod;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;30;
1683;Kőszeg;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;34;
1213;Nógrádmegyer;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;21;
1214;Csepreg;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;31;
1216;Patca;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;19;
2654;Kup;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;34;
2660;Köröm;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;15;
2672;Grábóc;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;23;
2568;Cserénfa;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;31;
2622;Gadány;Marcali;Somogy;Dél-Dunántúl;Dunántúl;17;
2570;Szentbalázs;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;39;
3008;Szamostatárfalva;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;36;
3014;Szenyér;Marcali;Somogy;Dél-Dunántúl;Dunántúl;13;
3015;Bácsszőlős;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;17;
3016;Körösújfalu;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;34;
3017;Kislőd;Ajkai;Veszprém;Közép-Dunántúl;Dunántúl;28;
3021;Hegyhátsál;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;38;
3022;Tardos;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;27;
3023;Mesterszállás;Mezőtúri;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;33;
0796;Murarátka;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;36;
0813;Várad;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;26;
0824;Nagyszénás;Orosházi;Békés;Dél-Alföld;Alföld és Észak;37;
0848;Szentistvánbaksa;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;23;
0891;Magyarföld;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;30;
0917;Gige;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;25;
0857;Kétújfalu;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;28;
0815;Drégelypalánk;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;21;
0850;Kishódos;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;20;
0902;Őr;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;31;
0808;Ináncs;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;20;
1760;Liget;Komlói;Baranya;Dél-Dunántúl;Dunántúl;26;
1778;Mogyoród;Gödöllői;Pest;Pest;Közép-Magyarország;53;
1787;Lesencetomaj;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;23;
1812;Bolhó;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;28;
1836;Becsvölgye;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;25;
1852;Eperjeske;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;44;
1751;Gáborjánháza;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;36;
3058;Somogyacsa;Tabi;Somogy;Dél-Dunántúl;Dunántúl;38;
2979;Méhtelek;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;21;
3026;Dormánd;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;24;
2938;Örményes;Törökszentmiklósi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;34;
2946;Balatonfőkajár;Balatonalmádi;Veszprém;Közép-Dunántúl;Dunántúl;37;
2954;Mozsgó;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;19;
3020;Borsodszentgyörgy;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;17;
3059;Mikosszéplak;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;39;
3077;Hosszúvíz;Marcali;Somogy;Dél-Dunántúl;Dunántúl;35;
3079;Salföld;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;81;
3082;Kisberény;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;19;
3083;Hosszúhetény;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;28;
3087;Megyehíd;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;36;
3091;Vanyarc;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;25;
3092;Csabrendek;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;26;
0672;Borjád;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;38;
0753;Bürüs;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;28;
0760;Bánfa;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;22;
0697;Cserépfalu;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;25;
0658;Gálosfa;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;40;
0666;Ete;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;28;
0673;Csősz;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;32;
0755;Rádóckölked;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;31;
0762;Alsótold;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;27;
2103;Alsózsolca;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;16;
2112;Szentkirály;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;25;
2117;Balatonfüred;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;49;
2120;Lőkösháza;Gyulai;Békés;Dél-Alföld;Alföld és Észak;34;
2124;Sükösd;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;34;
2126;Babosdöbréte;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;33;
1925;Okány;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;31;
1926;Szil;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;31;
1930;Győrsövényház;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;33;
1935;Perkáta;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;33;
1936;Bábolna;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;33;
1937;Mátranovák;Bátonyterenyei;Nógrád;Észak-Magyarország;Alföld és Észak;28;
1939;Bélmegyer;Békési;Békés;Dél-Alföld;Alföld és Észak;36;
1944;Somogyvár;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;29;
1076;Körösnagyharsány;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;38;
1077;Tiszabő;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;28;
1078;Boncodfölde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;37;
1080;Nyírparasznya;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;26;
1083;Olcsvaapáti;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;36;
2023;Jákfalva;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;21;
2062;Rinyaújlak;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;31;
2114;Apostag;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;32;
2038;Mérges;Téti;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;39;
2125;Szentpéterfa;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;34;
2115;Vezseny;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;33;
2092;Kisigmánd;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;33;
2214;Mikekarácsonyfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;21;
2215;Fülöp;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;24;
2219;Poroszló;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;36;
2221;Szőke;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;31;
2223;Botpalád;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;19;
2227;Bakóca;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;32;
2229;Csanytelek;Csongrádi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;36;
2234;Kemence;Szobi;Pest;Pest;Közép-Magyarország;43;
2239;Csönge;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;36;
2520;Nagytevel;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;44;
2247;Sajólászlófalva;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;27;
1977;Osztopán;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;26;
1979;Szalmatercs;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;26;
1983;Szilágy;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;24;
1985;Nemespátró;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;35;
1987;Nagypall;Pécsváradi;Baranya;Dél-Dunántúl;Dunántúl;27;
1990;Csányoszró;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;26;
1994;Szalkszentmárton;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;32;
0890;Nagykereki;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;21;
0893;Vámosoroszi;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;29;
0898;Vámospércs;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;28;
0907;Csénye;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;33;
0910;Vácszentlászló;Gödöllői;Pest;Pest;Közép-Magyarország;33;
0916;Belezna;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;26;
0921;Földeák;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;35;
2519;Bogács;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;33;
2440;Vékény;Komlói;Baranya;Dél-Dunántúl;Dunántúl;22;
2457;Sámsonháza;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;25;
2544;Benk;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;29;
2466;Pötréte;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;29;
2412;Bakonytamási;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;35;
2422;Kovácshida;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;28;
2459;Zajk;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;14;
0333;Ivánbattyán;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;30;
0717;Sorkifalud;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;29;
0718;Sarud;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;39;
0720;Újvárfalva;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;10;
0721;Acsád;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;22;
0722;Vadna;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;26;
2370;Kiscsősz;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;30;
2405;Nemeskolta;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;33;
2749;Csöde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;40;
0908;Gelsesziget;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;21;
2517;Magyarbóly;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;30;
2418;Gencsapáti;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;37;
2455;Abasár;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;35;
2426;Egeraracsa;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;31;
2463;Koroncó;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;38;
1120;Hosszúvölgy;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;35;
1052;Detek;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;28;
1060;Csurgónagymarton;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;20;
1122;Hangács;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;18;
1155;Szécsisziget;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;24;
1104;Lakócsa;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;30;
1133;Sajónémeti;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;25;
1495;Sukoró;Gárdonyi;Fejér;Közép-Dunántúl;Dunántúl;72;
1497;Nagyrécse;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;36;
1500;Németkér;Paksi;Tolna;Dél-Dunántúl;Dunántúl;34;
1504;Babót;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;32;
1509;Baktüttös;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;27;
1513;Debrecen;Debreceni;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;41;
1520;Békéscsaba;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;39;
1526;Kéked;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;37;
2400;Nyirád;Ajkai;Veszprém;Közép-Dunántúl;Dunántúl;34;
2407;Deszk;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;43;
2409;Csengersima;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;24;
2417;Tereske;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;25;
2421;Mikepércs;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;32;
2755;Pogányszentpéter;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;31;
2756;Zalaszombatfa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;55;
2758;Nemti;Bátonyterenyei;Nógrád;Észak-Magyarország;Alföld és Észak;22;
2760;Nagytálya;Egri;Heves;Észak-Magyarország;Alföld és Észak;32;
2761;Zimány;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;32;
2762;Újlőrincfalva;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;29;
2763;Úny;Esztergomi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;31;
2766;Dubicsány;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;30;
2771;Izmény;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;29;
2485;Romonya;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;36;
2487;Homokkomárom;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;23;
2488;Hernádpetri;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;9;
2491;Szob;Szobi;Pest;Pest;Közép-Magyarország;33;
2492;Bisse;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;35;
2493;Vác;Váci;Pest;Pest;Közép-Magyarország;40;
2494;Nagykökényes;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;30;
2497;Hernádszurdok;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;15;
2504;Somogybükkösd;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;33;
2506;Szabadszállás;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;31;
2510;Hangony;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;12;
1708;Penészlek;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;27;
1711;Resznek;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;32;
1712;Beleg;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;24;
1713;Hernádszentandrás;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;18;
1717;Dabronc;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;36;
1946;Balatonendréd;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;36;
1963;Páli;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;40;
1842;Keszthely;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;35;
1742;Rozsály;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;26;
1761;Gombosszeg;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;41;
1762;Úrhida;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;45;
1795;Fürged;Tamási;Tolna;Dél-Dunántúl;Dunántúl;28;
0321;Sajóivánka;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;27;
0325;Földes;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;36;
0360;Sóly;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;37;
1747;Hajdúszovát;Hajdúszoboszlói;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;26;
1810;Battonya;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;31;
1776;Zsombó;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;38;
1802;Nemesrádó;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;33;
0338;Szarvaskő;Egri;Heves;Észak-Magyarország;Alföld és Észak;32;
0341;Somogyszil;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;31;
0348;Edde;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;7;
0354;Kökény;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;32;
0358;Szabolcsveresmart;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;30;
0362;Géberjén;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;36;
0378;Ócsárd;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;32;
0347;Meződ;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;28;
0353;Léh;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;29;
0398;Nagybudmér;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;31;
0400;Zalacsány;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;32;
0423;Aszaló;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;21;
0209;Gutorfölde;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;32;
0212;Csanádalberti;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;34;
0224;Vát;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;34;
0336;Szilsárkány;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;36;
0343;Lasztonya;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;30;
0359;Abaújszántó;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;26;
0363;Balatonhenye;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;66;
2484;Heresznye;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;32;
