ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE;
1430;Závod;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;561;
3285;Váralja;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;467;
1582;Felsőnána;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;401;
1684;Csány;Hatvani;Heves;Észak-Magyarország;Alföld és Észak;469;
1906;Árpádhalom;Szentesi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;513;
1246;Rátka;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;452;
1263;Kisapostag;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;426;
2302;Rudabánya;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;504;
2689;Karancsság;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;343;
3044;Tibolddaróc;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;530;
3161;Zalamerenye;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;809;
0778;Döbröce;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;595;
0843;Bánokszentgyörgy;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;490;
0847;Szajk;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;429;
1074;Kistótfalu;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;456;
1851;Vejti;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;483;
1889;Szomolya;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;469;
1458;Vámosgyörk;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;414;
3286;Kérsemjén;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;448;
3288;Bükkzsérc;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;567;
1612;Borsodgeszt;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;713;
3297;Kőröstetétlen;Ceglédi;Pest;Pest;Közép-Magyarország;460;
0600;Zamárdi;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;650;
0609;Ellend;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;503;
0988;Fertőd;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;451;
2506;Szabadszállás;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;495;
2533;Rábapatona;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;372;
2538;Selyeb;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;355;
2549;Endrefalva;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;400;
0463;Tüskevár;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;509;
0464;Kám;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;457;
0656;Sormás;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;388;
0806;Gellénháza;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;415;
0810;Sárhida;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;376;
0846;Beloiannisz;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;408;
0853;Szany;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;474;
0865;Kisszentmárton;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;465;
0885;Karancskeszi;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;477;
2646;Balatonmagyaród;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;691;
1690;Tornabarakony;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;2444;
3295;Elek;Gyulai;Békés;Dél-Alföld;Alföld és Észak;453;
3301;Szécsényfelfalu;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;680;
1724;Pogány;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;310;
3182;Uszka;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;203;
3190;Rásonysápberencs;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;368;
2377;Pereszteg;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;364;
2378;Sajópüspöki;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;439;
2388;Sonkád;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;308;
2399;Kompolt;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;417;
2699;Tótszentgyörgy;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;500;
2713;Mencshely;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;419;
1305;Kissziget;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;601;
1493;Bodony;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;599;
1496;Zebegény;Szobi;Pest;Pest;Közép-Magyarország;465;
1503;Enese;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;359;
0446;Szakály;Tamási;Tolna;Dél-Dunántúl;Dunántúl;483;
2960;Pilisborosjenő;Pilisvörösvári;Pest;Pest;Közép-Magyarország;347;
2961;Biharugra;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;671;
3003;Drávaszerdahely;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;450;
2097;Téseny;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;397;
3351;Szákszend;Oroszlányi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;455;
3352;Mátraterenye;Bátonyterenyei;Nógrád;Észak-Magyarország;Alföld és Észak;498;
2275;Kaszaper;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;513;
3355;Herceghalom;Budakeszi;Pest;Pest;Közép-Magyarország;337;
2693;Mocsa;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;395;
0360;Sóly;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;329;
2859;Pusztaszer;Kisteleki;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;553;
2869;Tiszaigar;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;512;
3062;Tiszakécske;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;445;
3063;Miske;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;464;
3034;Sajószöged;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;388;
0347;Meződ;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;561;
0462;Zsira;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;387;
0224;Vát;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;379;
0310;Kétsoprony;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;471;
3405;Hunyadfalva;Szolnoki;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;652;
3409;Móricgát;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;863;
0592;Bódvaszilas;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;472;
3045;Miskolc;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;513;
3206;Kávás;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;456;
3211;Ötvöskónyi;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;339;
2824;Beregdaróc;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;358;
2827;Endrőc;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;375;
3021;Hegyhátsál;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;578;
3128;Mikófalva;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;484;
0999;Nagykovácsi;Budakeszi;Pest;Pest;Közép-Magyarország;337;
1191;Balatonőszöd;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;761;
1200;Szatymaz;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;474;
1539;Pirtó;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;483;
1544;Szentendre;Szentendrei;Pest;Pest;Közép-Magyarország;394;
2139;Sümegcsehi;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;450;
2711;Nemesborzova;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;415;
2882;Szeremle;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;463;
3072;Taksony;Szigetszentmiklósi;Pest;Pest;Közép-Magyarország;366;
0419;Köcsk;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;727;
0794;Viszák;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;461;
1189;Héreg;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;401;
3030;Tiszagyenda;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;554;
0376;Kiskinizs;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;419;
0571;Harasztifalu;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;491;
2936;Csömödér;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;432;
3269;Penyige;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;405;
0280;Enying;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;396;
0282;Abaújlak;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;1306;
0904;Szente;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;549;
1619;Ambrózfalva;Makói;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;519;
2410;Dunaszentmiklós;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;384;
2432;Felsőpetény;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;494;
1998;Soltvadkert;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;466;
2018;Tiszaroff;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;520;
2035;Előszállás;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;430;
0472;Sály;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;462;
0858;Baracska;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;385;
0864;Kálló;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;326;
1247;Kemenesszentpéter;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;510;
1444;Tiszatelek;Ibrányi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;409;
1824;Taktaharkány;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;366;
1826;Szárazd;Tamási;Tolna;Dél-Dunántúl;Dunántúl;520;
2141;Üllés;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;499;
1782;Mándok;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;375;
1969;Tetétlen;Püspökladányi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;398;
2354;Magyarlukafa;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;563;
2358;Nagyveleg;Móri;Fejér;Közép-Dunántúl;Dunántúl;413;
1996;Mátraballa;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;573;
1999;Kemecse;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;357;
2193;Cserháthaláp;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;486;
2194;Akasztó;Kiskőrösi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;487;
2385;Ászár;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;398;
3433;Csörög;Váci;Pest;Pest;Közép-Magyarország;325;
2772;Salomvár;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;411;
2962;Vértestolna;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;418;
2966;Alsónána;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;409;
2968;Zalatárnok;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;556;
3222;Külsősárd;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;507;
2509;Bénye;Monori;Pest;Pest;Közép-Magyarország;418;
2539;Igrici;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;404;
0249;Nagycenk;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;377;
0251;Kocs;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;374;
1347;Bucsa;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;458;
1917;Petrikeresztúr;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;529;
2487;Homokkomárom;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;456;
2491;Szob;Szobi;Pest;Pest;Közép-Magyarország;432;
1773;Igar;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;609;
2184;Péteri;Monori;Pest;Pest;Közép-Magyarország;345;
2371;Gelej;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;470;
2568;Cserénfa;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;397;
0939;Hernádcéce;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;590;
1330;Zalaszentlőrinc;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;490;
2283;Petőháza;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;415;
2479;Kardos;Szarvasi;Békés;Dél-Alföld;Alföld és Észak;680;
0733;Aszófő;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;480;
0932;Jágónak;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;626;
1120;Hosszúvölgy;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;475;
1322;Mihálygerge;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;580;
2335;Madaras;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;566;
2376;Palé;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;389;
2422;Kovácshida;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;397;
2439;Kiskunmajsa;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;493;
2722;Kálmánháza;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;418;
2738;Tatárszentgyörgy;Dabasi;Pest;Pest;Közép-Magyarország;384;
2293;Cibakháza;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;532;
2670;Csorvás;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;516;
2672;Grábóc;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;525;
2673;Rábagyarmat;Szentgotthárdi;Vas;Nyugat-Dunántúl;Dunántúl;375;
3037;Tiszatarján;Mezőcsáti;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;368;
3139;Tyukod;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;470;
0375;Rábcakapi;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;669;
0757;Zalabaksa;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;447;
0992;Hetes;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;344;
1605;Sajószentpéter;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;416;
2175;Nemesszalók;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;433;
2562;Gyál;Gyáli;Pest;Pest;Közép-Magyarország;347;
3208;Alsópáhok;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;452;
0266;Milejszeg;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;480;
2330;Gyenesdiás;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;500;
3282;Bugac;Kiskunfélegyházi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;543;
3284;Szentborbás;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;716;
3302;Forráskút;Mórahalmi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;464;
3387;Egeralja;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;548;
3394;Eplény;Veszprémi;Veszprém;Közép-Dunántúl;Dunántúl;371;
3115;Nyírbogát;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;423;
1628;Mindszentgodisa;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;463;
1655;Komlóska;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;766;
1675;Szalonna;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;373;
1244;Abádszalók;Kunhegyesi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;502;
1259;Tiszadob;Tiszavasvári;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;436;
3145;Tevel;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;449;
3148;Nagyréde;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;394;
3150;Dunaföldvár;Paksi;Tolna;Dél-Dunántúl;Dunántúl;487;
0373;Bárdudvarnok;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;466;
0568;Mezőkomárom;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;469;
1301;Hodász;Mátészalkai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;337;
1409;Tiszaug;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;430;
1413;Bojt;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;370;
1412;Tarnaörs;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;406;
1791;Felsőnyék;Tamási;Tolna;Dél-Dunántúl;Dunántúl;497;
1995;Biharkeresztes;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;380;
1393;Porrogszentkirály;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;608;
1771;Kisdorog;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;440;
2423;Erdőtelek;Hevesi;Heves;Észak-Magyarország;Alföld és Észak;422;
2640;Komló;Komlói;Baranya;Dél-Dunántúl;Dunántúl;507;
3361;Szentegát;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;513;
3362;Fülöpjakab;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;457;
2745;Szendrőlád;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;202;
3217;Kál;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;405;
3232;Encsencs;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;353;
2338;Almásháza;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;304;
2347;Somberek;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;397;
2356;Mezőlak;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;424;
1752;Polgárdi;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;343;
1939;Bélmegyer;Békési;Békés;Dél-Alföld;Alföld és Észak;611;
2131;Csurgó;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;461;
2136;Udvari;Tamási;Tolna;Dél-Dunántúl;Dunántúl;532;
2519;Bogács;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;521;
3184;Gara;Bajai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;413;
0795;Szilaspogony;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;569;
0984;Hernád;Dabasi;Pest;Pest;Közép-Magyarország;365;
1126;Kóny;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;391;
1313;Golop;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;528;
